Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-08-10,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"To Whom It XXXX Concern at XXXX, Equifax and XXXX, I am writing to express my deep concern over XXXX, Equifax, XXXX furthermore known as "" the XXXX bureaus '' failure to investigate my mailed-in disputes, resulting in a violation of my rights under the Fair Credit Reporting Act ( FCRA ). I have received a response letter from "" the XXXX bureaus '' indicating that my mailed-in dispute request "" does not appear to have been sent directly by [ me ] or to be authorized by [ me ], '' which is not only inaccurate but also constitutes a failure to investigate my disputes as required by the FCRA. 
Let me be clear : I have never used a credit repair company or any XXXX party to submit disputes on my behalf. I am the sole author and sender of each dispute I submit to "" the XXXX bureaus '', and I have provided notarized documentation along with identification to prove my identity. There should be no ambiguity regarding the legitimacy of my mailed-in disputes. 
According to FCRA 611 ( a ) ( 1 ) ( A ), if a consumer disputes the accuracy or completeness of information in their credit report, the XXXX XXXX XXXX must conduct a free reinvestigation to determine whether the disputed information is inaccurate. "" The XXXX bureaus '' refusal to investigate my mailed-in disputes on the grounds that they "" do not appear to have been sent directly by [ me ] '' is a clear violation of this provision. 
"" The XXXX bureaus '' ongoing practice of sending letters that delay the investigation process by questioning the authenticity of my disputes is unacceptable and constitutes a significant breach of my rights under the FCRA. By failing to conduct a timely and thorough investigation into my disputes, "" the XXXX bureaus '' is causing unnecessary delays, which impacts my creditworthiness and financial well-being. 
I demand that "" the XXXX bureaus '' promptly address this issue by : XXXX. Opening and investigating every mailed-in dispute that I submit upon receipt. 
XXXX. Stopping the practice of sending letters that question the legitimacy of my disputes without valid grounds. 
XXXX. Complying with FCRA regulations that mandate the investigation of disputes submitted by consumers. 
If "" the XXXX bureaus '' fails to comply with these demands and continues to violate my rights under the FCRA, I will take further action, including but not limited to filing complaints with the Consumer Financial Protection Bureau ( CFPB ) and pursuing legal remedies to enforce my rights. 
Thank you for your immediate attention to this matter. I expect a response confirming that "" the XXXX bureaus '' has corrected its practices and will properly investigate my mailed-in disputes in accordance with FCRA requirements. 
Sincerely, XXXX XXXX XXXX XXXX",,"EQUIFAX, INC.",FL,33313,,Consent provided,Web,2024-08-10,Closed with explanation,Yes,,9794551
2024-08-10,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,"Recently I retired, at some point I was not able to continue making payments on my PayPal account. Prior to this situation, I had opened a crypto currently account through their site. I liked the idea because I could make purchases in small amounts. 

However, now that XXXX cant my payments as I previously did, I am unable to access my account in any form or fashion. Each and every time, I try to access the account, I always receive the following messages : something went wrong, please try again ; please enter three email accounts associated with your account ; reset your password, however, when I choose this option, it circles back to enter your email address and we will send a reset link. 

I try this every few months, only to end up in the same vicious circle. I do know that at one point I was past due with a balance of roughly {$220.00} odd dollars. However, I do believe that there was enough funds in the crypto account that would have allowed me to liquidate the account and bring my account current. However, since I was locked out of my PayPal account, I was denied the ability to use this option. 

I dont know, it I believe this practice from PayPal has to be illegal in some aspect.

I would appreciate any assistance I can get. I dont think they should be allowed to hold my funds hostage. As previously mentioned, I do believe there was enough money in the crypto account to have gotten my account back on track, but they denied me this option.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,FL,32211,,Consent provided,Web,2024-08-10,Closed with explanation,Yes,,9777320
2024-08-10,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Over a period of about a week starting XX/XX/XXXX, someone began making large transactions using my credit card at XXXX, XXXX XXXX, and other stores, adding up to about {$26000.00}. When I discovered this on XX/XX/XXXX, I called chase and identified the fraudulent charges, and they removed the charges from my account and issued me a new card, so I thought everything was fine. Over the next couple of months they occasionally called me to ask for details to assist in their fraud investigation, but I couldn't think of anything unusual that happened that could've explained exactly how someone could have gained access to my card. Then on XX/XX/XXXX, they posted a letter to my account claiming that I had "" received benefit from the transactions '' and was therefore responsible for them, and immediately added the {$26000.00} of charges back to my credit card. When I tried to call and ask what this meant they were unable to provide a satisfactory answer ; the only useful thing they said was that on the date of the first fraudulent transaction, I had apparently given them a phone call telling them that it was a valid use of my credit card, but this was completely untrue : I have no memory of such a call, and my call history shows XXXX calls made or received by me on that date. When I told them this, they said they would reopen the case, but they refused to remove the charges from my account because "" that's not their procedure for reopened cases ''. This is especially annoying because the {$26000.00} of charges put me well over my credit limit, rendering me unable to use the card unless I paid a significant portion of them off ; the fraud department told me that I should be able to request a temporary credit limit increase from customer service, but when I called customer service they claimed this wasn't possible and that I just had to apply for a normal credit limit increase. I did ask to do that just as a potential temporary solution, but there's no guarantee that will go through or that it will be a large enough increase where I can avoid paying off the charges. The abruptness of charging my card with such a huge amount and their inability to provide me with prompt assistance has left me feeling extremely stressed and frustrated.",,JPMORGAN CHASE & CO.,NY,XXXXX,,Consent provided,Web,2024-08-10,Closed with monetary relief,Yes,,9777532
2024-08-10,Mortgage,Conventional home mortgage,Trouble during payment process,Interest rate,We requested in writing for the XXXX on XX/XX/24 because I'm currently on a XXXX in the state of Louisiana. The Louisiana XXXX ( Louisiana Statute Section 29:312 ) PHH Mortgage replied back on XXXX/XXXX/24 stating our account is not eligible for protection under the XXXX.,,Onity Group Inc.,FL,34771,Servicemember,Consent provided,Web,2024-08-10,Closed with explanation,Yes,,9778361
2024-08-10,Debt collection,Other debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,,"Collins Asset Group, LLC",PA,19027,,Consent not provided,Web,2024-08-10,Closed with explanation,No,,9887506
2024-08-10,Debt collection,I do not know,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,,"Collins Asset Group, LLC",PA,19027,,Consent not provided,Web,2024-08-10,Closed with explanation,No,,9887512
2024-08-10,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MA,02149,,Other,Web,2024-08-10,Closed with explanation,Yes,,9758251
2024-08-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"Had identity theft, along with proof of ID theft and proper filed government filings no charge offs were removed from all 3 credit bureau. Experian XXXX and XXXX!!! There are 3 chare-off accounts that were considered fraud, 2 XXXX credit card accounts and 1 XXXX  XXXX account. Those 3 accounts were charged off. My identity theft reports were not recognized and honored by these credit bureaus",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IL,60651,,Consent provided,Web,2024-08-10,Closed with explanation,Yes,,9772778
2024-08-10,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Problem with customer service,"I have been faithfully paying on my large student loan balance for many years and have been a dedicated XXXX employee since XXXX and local government employee since XXXX. I made my XXXX payment for the Public Service Loan Forgiveness Program in XX/XX/XXXX and requested loan forgiveness, and a forbearance to not require additional XXXX XXXX  monthly payments until the forbearance is applied and PSLF application is processed and loans discharged. 

Both DOE/Federal Student Aid ( FSA ) and the loan servicer MOHELA have proven incompetent and processing this request. The account has been bounced back and forth from MOHELA to Student Aid and I have received a variety of emails about "" loan transitions '' but nothing substantive about my requests for temporary forbearance and loan forgiveness, and my account currently reflects almost 90 days past due. I should not be required to make payments while the government sorts out how it will handle my loan account and processes my paperwork. 

This issue continues to cause financial and emotional distress for me and my family and I have lost countless hours having to deal with this mess created by this incompetent company. I have filed multiple complaints with MOHELA, DOE/FSA , Congressman XXXX XXXX office, and XXXX  and thus far the issue remains unresolved. I am also a class member of the putative class action litigation pending in Missouri against MOHELA and other defendants related to their incompetent handling of student loan accounts. 

Please contact MOHELA to ensure a forbearance is applied to my account and ensure my loan forgiveness application is processed ASAP.",Company believes it acted appropriately as authorized by contract or law,MOHELA,VA,20191,,Consent provided,Web,2024-10-22,Closed with explanation,Yes,,9776446
2024-08-10,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,"Paxful Holdings, Inc.",PA,16102,,Consent not provided,Web,2024-08-10,Closed with explanation,No,,9887517
