Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-12-15,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,,,Benworth Capital Partners LLC,CT,06831,,Consent not provided,Web,2024-12-15,Untimely response,No,,11160712
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"I am writing to have the following information removed from my credit file, the items that I need deleted are going to be attached in a word document. I am a victim of identity theft. I have multiple accounts and inquiries that I DID NOT apply for listed on my credit report. I ask that these items be deleted so my credit report will only show accurate information. I reported the theft of my identity to the Federal Trade Commission and have enclosed copies of the report. I would like these items deleted from my credit report as soon as possible. Please block this information from my credit report, pursuant to section 605B of the Fair Credit Reporting Act.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IL,60649,,Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11161126
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,"XXXX, XXXX, Experian, XXXX. I have nonmailable address on my report. XXXXXXXX XXXX XXXX XXXX XXXX XXXX is my only address. These other address need to be deleted. Also, it is illegal to report transaction history. Privacy act of 1974. And I was effected by the XXXX Data Breach. It is {$1000.00} per violation. Per the FCRA as a federal protected consumer Iam now opting out of any and all authorization. I the consumer may have given you written unwritten, verbal and nonverbal per 15 usc 6802 and change off, are considered a certificate of indebtedness. income can not be reported. 15 usc 1681 permissible purposes. You can't tie me to an old address. ( Non mailable ) and utilization is illegal a corporation can not report transaction history.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,77083,"Older American, Servicemember",Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11160730
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,AL,35216,,Consent not provided,Web,2024-12-15,Closed with explanation,Yes,,11160778
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,I never had a loan with this company they have stolen my identity and reporting negatively on credit profile.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MI,488XX,,Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11165209
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"I am disputing the inaccurate reporting of a XXXX account on my credit report by Experian. The inaccurate reporting began when I noticed the charge-off status and past-due balance being listed on my credit report. This issue has persisted, and I believe the negative updates are incorrect. account is listed as charged-off, but a past-due balance of {$2800.00} is incorrectly reported. Additionally, there are 16 consecutive months of negative info updated every month, which I believe is a violation of the Fair Credit Reporting Act.The company involved in this issue is Experian, which is the consumer reporting agency responsible for reporting the inaccurate information. The furnisher of the incorrect information is XXXX.The inaccurate reporting has negatively affected my credit score and may hinder my ability to obtain credit or secure favorable interest rates. This has cost me employment opportunities It has caused distress and financial inconvenience for me and my young family.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,78249,Servicemember,Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11165233
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,"Equifax, XXXX, XXXX, XXXX. I have nonmailable address on my report. XXXX XXXX XXXX XXXX XXXX XXXXXXXX is my only address. These other address need to be deleted. Also, it is illegal to report transaction history. Privacy act of 1974. And I was effected by the Equifax Data Breach. It is {$1000.00} per violation. Per the FCRA as a federal protected consumer Iam now opting out of any and all authorization. I the consumer may have given you written unwritten, verbal and nonverbal per 15 usc 6802 and change off, are considered a certificate of indebtedness. income can not be reported. 15 usc 1681 permissible purposes. You can't tie me to an old address. ( Non mailable ) and utilization is illegal a corporation can not report transaction history.",,"EQUIFAX, INC.",TX,77083,"Older American, Servicemember",Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11165013
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",AL,35216,,Consent not provided,Web,2024-12-15,Closed with non-monetary relief,Yes,,11164932
2024-12-15,Credit reporting or other personal consumer reports,Other personal consumer report,Incorrect information on your report,Public record information inaccurate,,,"EQUIFAX, INC.",TX,75044,,Consent not provided,Web,2024-12-15,Closed with non-monetary relief,Yes,,11163551
2024-12-15,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"On XX/XX/year> ; I received a call from ( XXXX ) XXXX that claimed to be a worker for Wells Fargo and needed me to test my account for verification. They assured me that any money taken was just for security reasons and that it will be back in my account. 
Over the next ten days they would call me again for more testing and assure me that the money will be back in my account, while also wanting me to connect to XXXX accounts with the names XXXX XXXX, XXXX XXXX, XXXX XXXX, and XXXX XXXX XXXX. 
They called me the following times : XX/XX/XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX During those days they made the following transactions that misappropriated my money. 
XX/XX/year>XXXX  : ATM ID XXXX : XXXX XXXX XXXX XXXX, XXXX, FL, XXXX {$200.00} & {$400.00} XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX FL XXXX XXXX {$100.00} XXXX  XXXX, XXXX, XXXX {$80.00} & {$9.00} XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX FL XXXX XXXX {$52.00} XX/XX/year> : XXXX XXXX {$5.00} XXXX {$150.00} XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL, XXXX {$59.00} ATM ID XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, FL, XXXX {$400.00} & {$300.00} & {$300.00} XXXX XXXX XXXX  # XXXX, XXXX XXXX, XXXX, XXXX {$100.00} XX/XX/year> : XXXX XXXX XXXX XXXX XXXX, FL- {$12.00} XXXX  XXXX, XXXX, FL- {$25.00} & {$38.00} ATM ID XXXX : XXXX XXXX XXXX XXXX, XXXX, FL- {$1000.00} plus an overdraft fee of {$35.00} After missing two calls due to working on XX/XX/year>, I haven't heard from them since and later realized I was scammed. 
I tried to dispute the claims on my account online, but it failed due to the scammer tricking me to allow access as part of a security test, so they considered it legitimate. When I tried to dispute the claims by phone, they said I would need police assistance before they can check to see if it was actually me making those transactions, but since XXXX is in a XXXX XXXX, I don't know which police officers to call for help.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,32216,,Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11153196
2024-12-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, GA XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX, GA XXXX Experian XXXX XXXX XXXX XXXX, TX XXXX XXXX XXXX XXXX XXXX XXXX, PA XXXX Subject : Request for Goodwill Removal of Late Payment Dear Sir/Madam, I hope this letter finds you well. I am writing to request your consideration in removing late payments from my credit report for the accounts listed below. I have been a responsible and timely payer overall, and I sincerely regret the oversight that caused the late payment in question. 

Account Information : XXXX XXXX : # XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  : # XXXX The late payments occurred due to a XXXX XXXX XXXX I was dealing with during that time. This condition caused unexpected XXXX  XXXX  that made it difficult for me to manage my financial responsibilities. While I fully understand the importance of making payments on time, my primary focus during that period was on recovering my health, which caused a delay in my payment processing. 

Since then, I have made every effort to get my finances back on track, and I have ensured that all my payments are up to date. I deeply value my credit and am committed to maintaining a good payment history moving forward. 

As a loyal customer, I kindly request your assistance in removing these late payments from my credit report as a gesture of goodwill. I believe this removal would more accurately reflect my overall creditworthiness and my commitment to fulfilling my financial obligations. 

I greatly appreciate your time and understanding, and I look forward to hearing from you regarding this request. If you require any additional information or documentation, please feel free to contact me. 

Thank you for your consideration. 

Sincerely, XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,312XX,,Consent provided,Web,2024-12-15,Closed with explanation,Yes,,11156320
