Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"Dear CFPB, I am writing to file a formal complaint against XXXX XXXX XXXXXXXX and TransUnion LLC for violations of federal consumer protection laws and regulations, as outlined below. 
15 U.S.C. 1611 : XXXX  XXXX XXXX and TransUnion have failed to adhere to the Truth in Lending Acts ( TILA ) provisions, which mandate accurate disclosures of credit terms to consumers. Misleading or incomplete reporting of financial obligations has had an adverse impact on my credit report and access to credit. 

15 U.S.C. 1602 : Both entities have failed to ensure the transparency and accuracy of credit transactions as required by this statute, which defines key terms and obligations under TILA.

15 U.S.C. 1691 ( a ) : I believe XXXX  XXXX XXXX has engaged in discriminatory practices in violation of the Equal Credit Opportunity Act ( ECOA ). This section prohibits creditors from discriminating against any applicant based on factors unrelated to creditworthiness. 

12 CFR 1002.4 : XXXX  XXXX XXXX failed to notify me of adverse actions or provide clear, written reasons for decisions affecting my credit application or account. 

12 CFR 1002.2 : TransUnion has provided inaccurate or misleading credit report data, resulting in adverse actions against me, including potential denial or higher costs of credit. 

TransUnion LLC v. Ramirez, 594 U.S. ( 2021 ) : TransUnion 's conduct demonstrates a disregard for consumer rights, as highlighted in the Supreme Courts ruling. Their failure to meet the FCRAs requirements regarding accuracy and disclosure of consumer data directly impacts my credit standing. 

Details of the Complaint XXXX  XXXX XXXX and TransUnion LLC have collectively contributed to errors and misrepresentations in my credit report. Despite my attempts to resolve these issues, the following concerns remain unaddressed : Failure to Correct Inaccurate Reporting : TransUnion continues to report erroneous information on my credit report, leading to adverse actions against me. 
Lack of Proper Notification : XXXX  XXXX XXXX has failed to notify me of adverse actions or provide sufficient explanations for their decisions. 
Failure to Ensure Maximum Accuracy : TransUnion has not upheld its obligation under the Fair Credit Reporting Act ( FCRA ) to ensure the accuracy of consumer reports, as required under 15 U.S.C. 1681e ( b ).

Requested Resolution I request the CFPB to : Conduct a full investigation into XXXX XXXX XXXX  and TransUnion LLCs actions.

Require TransUnion to immediately correct inaccuracies on my credit report and provide evidence of compliance with 15 U.S.C. 1681e ( b ).

Require XXXX XXXX XXXXXXXX to provide clear documentation of their adverse actions and verify compliance with ECOA and related regulations.

Levy appropriate penalties for noncompliance to ensure accountability and prevent similar misconduct in the future.

Supporting Documentation I have attached copies of my credit report, correspondence with XXXX XXXX XXXXXXXX and TransUnion, and any additional documentation to support this complaint. 

Thank you for your attention to this matter. I trust that the CFPB will take appropriate action to uphold my rights under federal law and ensure accountability for these violations. 

Sincerely, XXXX XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,44146,Servicemember,Consent provided,Web,2024-11-30,Closed with explanation,Yes,,10972559
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33321,,Consent not provided,Web,2024-11-30,Closed with explanation,Yes,,10981796
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MO,63043,,Consent not provided,Web,2024-11-30,Closed with explanation,Yes,,10981021
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 
XXXX XXXX XXXX and XXXX XXXX XXXX has violated my rights. 

I looked at my XXXX credit report on XX/XX/XXXX and XX/XX/XXXX ( and noticed some things are incomplete and not accurate. And according to the fair credit reporting act Whenever a consumer reporting agency prepares a consumer report it shall follow reasonable procedures to assure maximum possible accuracy of the information concerning the individual about whom the report relates according to 15 USC 1681 ( e ) ( b ).

And according to 15 USC 1681 5 they are suppose to do this ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In generallf, after any reinvestigation under paragraph ( 1 ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall ( i ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, based on the results of the reinvestigation; and ( ii ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer. 

and according to 15 USC 1681s-2 they are suppose to not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,10469,,Consent provided,Web,2024-11-30,Closed with non-monetary relief,Yes,,10974760
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",TX,78423,,Consent not provided,Web,2024-12-05,Closed with explanation,Yes,,10974916
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"I reported that my address was reporting incorrectly a long with other information and in less than 24 hours a decision was made that the address would stay on my report. I gave them documents that proved my address was wrong but they still updated it to be correct. I am a victim of fraud and identity theft I have been trying to get the inaccurate information removed from my report for years at this point, I have had no success working with the credit bureau. I would like my report to reflect the accurate information ONLY.

Incomplete, inaccurate information or unverifiable must be removed in 30 days PER 15 U.S.C. 1681 et seq., governs access to consumer credit report records and promotes accuracy, fairness, and the privacy of personal information assembled by Credit Reporting Agencies.

Incomplete and inaccurate information",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MA,01702,Servicemember,Consent provided,Web,2024-11-30,Closed with explanation,Yes,,10982465
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 
XXXX XXXX XXXX : and XXXX XXXX XXXX Account has violated my rights. 

I looked at my XXXX credit report on XX/XX/XXXX and XX/XX/XXXX and noticed some things are incomplete and not accurate. And according to the fair credit reporting act Whenever a consumer reporting agency prepares a consumer report it shall follow reasonable procedures to assure maximum possible accuracy of the information concerning the individual about whom the report relates according to 15 USC 1681 ( e ) ( b ).

And according to 15 USC 1681 5 they are suppose to do this ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In generallf, after any reinvestigation under paragraph ( 1 ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall ( i ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, based on the results of the reinvestigation; and ( ii ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer.

and according to 15 USC 1681s-2 they are suppose to not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,10469,,Consent provided,Web,2024-11-30,Closed with explanation,Yes,,10974380
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,78423,,Consent not provided,Web,2024-12-05,Closed with explanation,Yes,,10975164
2024-11-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under XXXX XXXX XXXX. 
XXXX XXXX XXXX : and XXXX XXXX XXXX  Account has violated my rights. 

I looked at my Experian credit report on XX/XX/XXXX and XX/XX/XXXX and noticed some things are incomplete and not accurate. And according to the fair credit reporting act Whenever a consumer reporting agency prepares a consumer report it shall follow reasonable procedures to assure maximum possible accuracy of the information concerning the individual about whom the report relates according to 15 USC 1681 ( e ) ( b ).

And according to 15 USC 1681 5 they are suppose to do this ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In generallf, after any reinvestigation under paragraph ( 1 ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall ( i ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, based on the results of the reinvestigation; and ( ii ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer.

and according to 15 USC 1681s-2 they are suppose to not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10469,,Consent provided,Web,2024-11-30,Closed with non-monetary relief,Yes,,10974382
2024-11-30,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"This issue is still ongoing with my account. Wells Fargo isnt doing anything to correct or rectify the issue. Wells Fargo keeps asking for information to delay the process of finding a resolve. Then once I provide them with what they ask for, they still end up denying my claim. Ive sent proof of returns, an itemized breakdown of what I returned. Proof of the stores acknowledgment of the returns. Provided tracking information, proof of where the merchandise was sent to ( which was XXXXXXXX XXXX  ). 
There is nothing else I can provide to this company ( Wells Fargo ) to show that they are charging me for items I do not have. 
On XX/XX/XXXX they will draft another {$370.00} out of my account. They are saying I need to reach out to the merchant ( XXXX ) which Ive done already. XXXX is unwilling to cooperate unless I drop the claim against them. Ive been advised through XXXX not to drop the claim against them, because it will leave my account outside of the XXXX day window to refund. 
This means if I drop the complaint XXXX will no longer be held liable to send the refunds back to my account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,PA,19150,,Consent provided,Web,2024-11-30,Closed with explanation,Yes,,10980931
