Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,31533,Servicemember,Consent not provided,Web,2024-09-08,Closed with explanation,Yes,,10062044
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,31533,Servicemember,Consent not provided,Web,2024-09-08,Closed with explanation,Yes,,10062488
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,31533,Servicemember,Consent not provided,Web,2024-09-08,Closed with explanation,Yes,,10062049
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,94591,,Consent not provided,Web,2024-09-08,Closed with non-monetary relief,Yes,,10064105
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,94591,,Consent not provided,Web,2024-09-08,Closed with non-monetary relief,Yes,,10057954
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,ME,04254,,Consent not provided,Web,2024-09-08,Closed with non-monetary relief,Yes,,10062806
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"XXXX XXXX  is reporting that I was late on my payments for 30-60 days but I have proof payment was made in advance for the months they are claiming, payment was not received. I contacted them over the phone and they informed me they can not do anything about it or make changes since it is already being reported. 

I have written to Experian, XXXX and XXXX, for the past seven ( 7 ) months, regarding the inaccurate information they are reporting, on behalf of XXXX XXXX about my payment history. The three bureaus are reporting my payment history as Current, was past due 60 days OR Paid or paying as agreed but reflects the inaccurate missing payments, still, under section two-years payment history.

I have sent out over three letters asking to validate debt and providing letters with proof of missed payments but nothing has been resolved. This is effecting everything from buying a home to my health. I really would like to get this resolved. My account is closed and XXXX XXXX  has sent me checks because I overpaid the account. 

I received a statement from XXXX XXXX  for XX/XX/year>XXXX  with a statement balance {$380.00} that was due XX/XX/year>. A payment was made on XX/XX/year> for an amount of XXXX. Payment was processed and accepted. 

My XX/XX/year>XXXX  statement had a balance of - {$37.00}. They may be reporting I missed a payment because I did not have a balance to pay but I should not have a low score because I paid my bill balance. Look forward to this being rectify.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33511,,Consent provided,Web,2024-09-08,Closed with explanation,Yes,,10062139
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,,"EQUIFAX, INC.",WI,53218,,Consent not provided,Web,2024-09-08,Closed with explanation,Yes,,10062980
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,31533,Servicemember,Consent not provided,Web,2024-09-08,Closed with non-monetary relief,Yes,,10062449
2024-09-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",GA,31533,Servicemember,Consent not provided,Web,2024-09-08,Closed with non-monetary relief,Yes,,10062448
