Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-10-19,Checking or savings account,Checking account,Closing an account,Can't close your account,"Issues with payment orders being ignored withdrawals not completed as instructed. Billing errors and incorrect billing. I called to notify them that I had an emergency and was going to hand write a check and was told I could not do that although I could have sworn it only needs to be portable, durable and fAnd after we hung up they locked my account and canceled my withdrawal that I just got done telling them about my situation and then when I called them back they said they dont know why they locked me out. 


Public law 73-10, HJR 192, UCC 3-603",,"BANK OF NEW YORK MELLON CORPORATION, THE",NM,87106,Servicemember,Consent provided,Web,2024-10-19,Closed with explanation,Yes,,10511296
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92395,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10509864
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10453,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10511488
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"Fraud accounts being relisted in violation. Please block all fraud accounts and related inquiries per FCRA, XXXX XXXX and CFPB unless you can provide verification of original signature. XXXX XXXX  XXXX XXXX  XXXX, XXXX XXXX XXXX XXXX XXXX XXXXXXXX, UD DEPARTMENT OF EDUCATION XXXX  {$1500.00}, XXXX XXXX XXXX Charges filed XXXX XXXX ORIGINAL POLICE REPORT attached, address, emails, current bank statement, FTC, supplemental police report and ID attached for verification thank you",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,AZ,85310,Servicemember,Consent provided,Web,2024-10-19,Closed with explanation,Yes,,10512049
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NC,27332,,Consent not provided,Web,2024-10-19,Closed with non-monetary relief,Yes,,10512953
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Public record information inaccurate,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,91342,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10513287
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Public record information inaccurate,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,91205,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10513243
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33073,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10512492
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33155,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10512680
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33073,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10495665
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Public record information inaccurate,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33073,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10512068
2024-10-19,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33498,Servicemember,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10511978
2024-10-19,Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,,,PNC Bank N.A.,CA,94112,,Consent not provided,Web,2024-10-19,Closed with explanation,Yes,,10510018
