Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-12-14,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Problem with personal statement of dispute,"this compliant against one of the larger bank in the banking system. i am a client of this bank for 20 year. never had any problem with the bank in XXXX some 10 year i apply for a cash vise credit card with this bank in XXXX my credit was XXXX TD bank lower my credit year after year. there is ma pattern in they practice. after ten year of doing business with TXXXX bank. The XXXX have got biggest i make a charger and it a leager charger and i pay it off in two of three week. i noction that went i pay a lager payment someone inthe drop my available balance iam drown from XXXX to XXXX why?. on XX/XX/XXXX my went drown XXXX in XX/XX/XXXX the balance was XXXX the plaintiff pay XXXX, in spet XXXX after the payment they my to credit limit XXXX now on XX/XX/XXXX XXXX was XXXX with a payment of XXXX then on or about XXXX XXXX i pay XXXX but i notice that my credit limed is now XXXX with a available XXXX this is a pattem TD bank have destroy credit for the last nine year from a XXXX credit to a XXXX XXXX XXXX all because of TD bank if that not discrimination. XXXX file compliant with the Department of justice for discrimination",,TD BANK US HOLDING COMPANY,FL,XXXXX,Older American,Consent provided,Web,2024-12-26,Closed with explanation,Yes,,11154589
2024-12-14,Debt collection,Federal student loan debt,Attempts to collect debt not owed,Debt was paid,"Up to XXXX calls a day saying either I owe back taxes or student loan debt, almost all are pre-fixes in XXXX XXXX. I pay my taxes and I was only a co-signer on XXXX of my daughters loans for {$8000.00}. When that company I believe it was ( B of A ) called me, I asked them to produce the XXXX years of payments I made as well as the interest rate that I had paid. I had all of the information & even if the rate was XXXX % it would have been paid in full. They could not and until recently I thought it taken care of!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",OR,97502,Older American,Consent provided,Web,2024-12-26,Closed with explanation,Yes,,11158154
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32548,,Consent not provided,Web,2024-12-14,Closed with explanation,Yes,,11153550
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,77498,,Consent not provided,Web,2024-12-14,Closed with explanation,Yes,,11156823
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10457,,Consent not provided,Web,2024-12-14,Closed with non-monetary relief,Yes,,11158430
2024-12-14,"Payday loan, title loan, personal loan, or advance loan",Installment loan,Charged fees or interest you didn't expect,,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,FL,33312,Servicemember,Consent not provided,Web,2024-12-14,Closed with explanation,Yes,,11156804
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian is reporting information that past the statute of limitations. Showing late payments from XXXXXXXX XXXX. Showing a debt on report that is under a different name that is not my name.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10703,,Consent provided,Web,2024-12-14,Closed with explanation,Yes,,11154427
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",VA,23234,,Consent not provided,Web,2024-12-14,Closed with non-monetary relief,Yes,,11155351
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77498,,Consent not provided,Web,2024-12-14,Closed with non-monetary relief,Yes,,11140908
2024-12-14,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"Heres the updated credit dispute letter with the Equifax information included : -- - XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXX XX/XX/year> Equifax XXXX XXXX XXXX XXXX, Georgia XXXX Subject : Dispute of Charge-Off Account - XXXX XXXX XXXX XXXX Dear Equifax , I am writing to formally dispute the accuracy of a charge-off on my credit report associated with XXXX XXXX XXXX  XXXX XXXX According to my credit report, the account in question is listed as a charge-off, which I believe to be inaccurate and misleading. 

The reporting of this charge-off violates several provisions of the Fair Credit Reporting Act. Specifically : 1. **15 USC 1681 ( a ) ( 4 ) ** : This law mandates that consumer reporting agencies ensure maximum possible accuracy in the information they report. The charge-off status of this account does not accurately reflect my payment history and account status.

2. **15 USC 1681 ( e ) ** : This provision requires that agencies provide consumers with a clear explanation of their rights. XXXX XXXX XXXX  XXXX has failed to provide me with the necessary documentation to substantiate the charge-off, thereby violating my rights under this law. 

3. **15 USC 1681 ( 6 ) ** : This law prohibits the reporting of inaccurate information. As the charge-off does not accurately represent my dealings with XXXX XXXXXXXX XXXX XXXX XXXX it constitutes a violation of this statute. 

I request that you conduct a thorough investigation of this matter and remove the inaccurate charge-off from my credit report. 

Please ensure that all communications regarding this dispute are directed to my address provided above. I appreciate your prompt attention to this matter and look forward to your response within the time frame specified by law. 

Thank you for your assistance. 

Sincerely, XXXX XXXX XXXX XXXX",,"EQUIFAX, INC.",FL,34787,,Consent provided,Web,2024-12-14,Closed with explanation,Yes,,11154116
